,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,idx_bars_confidence,idx_bars_start,idx_beats_confidence,idx_beats_start,idx_sections_confidence,idx_sections_start,idx_segments_confidence,idx_segments_loudness_max,idx_segments_loudness_max_time,idx_segments_loudness_start,idx_segments_pitches,idx_segments_start,idx_segments_timebre,idx_tatums_confidence,idx_tatums_start,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,,analyzer_version,track_7digitalid,artist_familiar,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,artist_7digitalid
0,22050,1fd7f65bcc4ed281447bc03e9f0dcb47,0.0,247.24853,0.236,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,-9.181,1,0.568,239.473,182.456,7,1.0,b'TRBHSRB128F429F827',0,b'',3410734,0.7756003458272162,0.4349226453121121,b'AR19QNR1187B9A13C5',,"Philadelphia, PA",,b'f7ebe5e2-c9fb-4959-a9b3-b09921168d50',Cassidy featuring R. Kelly,303,b'',0,0,b'Hotel',303100,,SOUDRIY12A8C13B59A,b'Hotel',215
1,22050,521599cd117b1dba0c38d0214f34d9e4,0.0,281.70404,0.212,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,-8.061,0,0.615,269.415,105.837,4,0.477,b'TRBHSMF128F4285B9C',1,b'',1063781,0.6061934961059625,0.4073442880394374,b'AR2MEUK1187B992D1B',,,,b'9946e322-2eb6-43dd-ae66-dd28114f1522',Jeff Scott Soto,59687,b'',0,0,b'Lost In The Translation',103106,,SOMCLSH12AF72A5CA4,b'If This Is The End',80602
2,22050,185e9694ebb68f29716b5d9a219cb193,0.0,165.40689,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.624,-6.393,1,0.568,152.52,139.009,4,0.0,b'TRBHSJX128F42BAE98',2,b'',3524368,0.7550413499986275,0.4585920249078077,b'ARE0OLY1187B9AD19F',40.79263,"Whitestone, Queens, NY",-73.80817,b'db0fc330-1fa1-43f8-a33f-33eaf6a97d78',Jesse Malin,-1,b'',0,0,b'On Your Sleeve',312553,,SOFIEJM12A8C141ABD,b'Harmony',6884
3,22050,ebb4f6e2f34dd81ca92b807f71a3a258,0.0,184.52853,1.565,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.413,-27.737,0,0.29,179.206,94.853,1,0.0,b'TRBHSOA12903CCC4B2',3,b'',8471053,0.5061267738918808,0.35078789087528156,b'AR5GLIU1187FB4638A',,"Memphis, TN",,b'a147eefb-0e07-432d-bd1f-8edf7679a7da',Memphis Jug Band,21159,b'',0,0,b'Move That Thing Vol 2',765209,,SOAECCP12AB0186ADB,"b""Spider's Nest Blues""",2852
4,22050,6e28a63f6f911e2e2accfb2de65d9836,0.0,236.2771,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.195,-13.971,0,0.427,229.32,140.042,4,0.788,b'TRBHSWH12903D07A35',4,b'',6764800,0.7415181300427279,0.5204121100542216,b'AR1ZKBE1187FB53629',,"D�orf, Germany",,b'5700dcd4-c139-4f31-aa3e-6382b9af9032',Kraftwerk,881,b'',0,0,b'Tour De France (2009 Digital Remaster)',608839,0.3135621142479342,SOCDLUF12A8C13F13F,b'Tour De France \xc3\x89tape 3 (2009 Digital Remaster)',983
5,22050,463dab6c2b7a7c40479c7b77156fd920,0.0,166.05995,0.442,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.481,-18.197,0,0.562,155.881,107.597,4,0.0,b'TRBHSVR128F9324499',5,b'',4014427,0.2916735349936803,0.44719972200380037,b'ARXUCPO12086C169A4',,,,b'334d914a-b3a8-4b97-ab1c-f6258116881f',Frank Sinatra,-1,b'',0,0,b'Francis Albert Sinatra & Antonio Carlos Jobim',360271,,SOXRFSL12A58A78723,b'Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection]',-1
6,22050,a054b77d93652540c14429842ceac68b,0.0,216.29342,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.578,-10.477,0,0.591,199.982,96.037,4,0.935,b'TRBHSYZ12903CCDE42',6,b'',7502076,0.5433500129660529,0.399265149721187,b'ARXOKNT1187B9AA521',,,,b'9ceb4e76-2b49-48a1-96f5-5fca8a0ca6c8',K.A.L.I.,-1,b'',0,0,b'K.A.L.I.',676395,,SORWYTZ12AB018D5C8,b'Climax ft St. Cyr',95567
7,22050,4ea290baef4b538d01e5d3e8b78bcbd9,0.0,771.89179,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.581,-5.221,1,0.428,767.489,119.291,3,0.42,b'TRBHSHC12903CBE83E',7,b'',7438444,0.6061934961059625,0.4073442880394374,b'AR2MEUK1187B992D1B',,,,b'9946e322-2eb6-43dd-ae66-dd28114f1522',Jeff Scott Soto,59687,b'',0,0,b'One Night In Madrid',670712,,SOZPFXD12A58A7E0CC,b'Funky Medley',80602
8,22050,00da692f6b1b77ef93991a864c926411,0.0,171.67628,0.321,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.0,-8.473,1,0.925,164.061,208.567,4,0.0,b'TRBHSJB12903CB81AA',8,b'',8388209,0.6087035683375998,0.36221895681539285,b'AR7KA5V1187FB44E6B',,,,b'7e5a0c3f-339a-4e5d-aed0-1946112b4a66',The Del McCoury Band,11415,b'',0,0,b'The Promise Land',757775,0.0,SOPKJJT12A8C1433B0,"b""It's Surprising What the Lord Can Do""",176248
9,22050,9513475071725ba13118776f28e977a5,0.0,237.92281,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.131,-9.868,1,0.394,234.574,150.958,4,1.0,b'TRBHSJU12903CE888A',9,b'',6637130,0.4152809003644191,0.284260942741617,b'ARC3WPR1187B9A183E',,,,b'e9d4c98e-aa52-4855-bcea-657f7bc97b1f',Non Stop DJs,-1,b'',0,0,b'Furious EP',598147,0.0,SOTZYDA12AC4686E81,b'Hoes & Discos',445029
10,22050,6ca43511848c4d0d3991a6e37eb3d8e7,0.0,283.27138,0.334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.432,-15.355,1,0.507,269.444,100.455,4,0.283,b'TRBHSJB128F42689BA',10,b'',2840208,0.5582453092722094,0.43948809906182723,b'ARAPI451187B9B6E6F',35.472,"Oklahoma City, OK",-97.52033,b'5d8cd98d-0572-4fe8-8771-84b4eb9bf510',John Michael Talbot,61388,b'',0,0,b'Simple Heart',262108,0.0,SOJBVZV12A8C13B50C,b'I Will Hear (Psalm 85)',19772
11,22050,e778b618bbf7b8bcd9252ae30728d138,0.0,162.79465,2.577,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.566,-9.18,1,0.176,152.253,131.612,4,0.0,b'TRBHSDN128F4274E9F',11,b'',2305171,0.6319790854692059,0.39957965816802155,b'AR3J4WZ1187B9B17ED',48.85692,"Paris, France",2.34121,b'385966f0-b912-4755-bad6-4780ebf3f4cd',Gall_ France,-1,b'',0,0,b'En Allemand - Das Beste Auf Deutsch',211868,0.39200877147130697,SOGIMLG12A8C13A2C8,b'Mein Herz kann man nicht kaufen',160048
12,22050,dc4ac3e0a0c303b9a7b5e4370ded474e,0.0,359.52281,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.004,-13.443,1,0.235,335.441,169.797,3,0.067,b'TRBHSPA12903CBC3F5',12,b'',7917377,0.467413843769302,0.372737613340037,b'AR0WAW61187B98B7D7',40.71455,"New York, NY",-74.00712,b'8a53e168-c1f1-4b55-ac96-da3a69d9e240',Doug MacLeod,-1,b'',0,0,b'Where I Been',713761,0.0,SOYNIER12AB0188280,b'Angel In Hell',335158
13,22050,5861ac4e1107a9fa308d6eb2dd239e07,0.0,828.05506,2.293,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.859,-6.223,1,0.552,823.496,128.45,4,0.081,b'TRBHXNG128F423C6B7',13,b'',1408691,0.5673132241223214,0.5800131829395042,b'ARAIABB1187B9AC6E2',,"Paddington, London, England",,b'f053ae01-dae6-4aae-9883-e8c279fdbef4',Seal,1408,b'',0,0,b'Seal Best Remixes 1991-2005',135662,0.3837335353205307,SOQJDEK12A8AE45E7A,"b""I'm Alive (BT & Sasha Mix)""",623
14,22050,d03f4136390ad7988288290e08b6a207,0.0,323.57832,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.236,-6.139,0,0.222,314.015,121.983,4,0.805,b'TRBHXRQ128F42A713F',14,b'',1244663,0.6876196662345889,0.417068912495152,b'ARXK4YK1187FB4D0C4',51.50632,"London, England",-0.12714,b'5483e1c0-14ca-4ec4-9b03-c4e987420e4e',Dub Pistols feat. Rodney P & Terry Hall,-1,b'',0,0,b'Peaches',120361,,SOCYWHV12A8C13CE5F,b'Peaches (Fear of Theydon remix)',54973
15,22050,56173f3e000c6985ec7d484bf000acf2,0.0,150.17751,0.171,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,-8.374,1,0.314,145.461,135.344,4,0.18,b'TRBHXUX12903C9A5B2',15,b'',7289015,0.4813360480067023,0.4369719312721286,b'ARYC4561187FB4F2B1',54.31407,United Kingdom,-2.23001,b'b183315e-6819-455c-abbf-49bab0ab264a',Chatelaine,-1,b'',0,0,b'Corps \xc3\xa0 corps',657961,,SOWMTOJ12AB018BBF2,b'Je me sens bien pasta fagioli',490786
16,22050,7182d8662dba535c25904a0da4211142,0.0,156.02893,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.329,-7.943,0,0.411,152.648,169.333,4,0.255,b'TRBHXIS128F930BCED',16,b'',4992310,0.48820685104705724,0.2712505962615699,b'ARYB42B1187FB37B01',,,,b'e32f569d-bcd8-4c29-95a1-b13bff72f9d5',Les Malpolis,-1,b'',0,0,b'Pi\xc3\xa9den\xc3\xa9s',449692,,SOHNPLG12AB0182004,b'Les Psys',332491
