,analyzer_version,track_7digitalid,artist_familiar,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,artist_7digitalid
0,b'',3410734,0.7756003458272162,0.4349226453121121,b'AR19QNR1187B9A13C5',,"Philadelphia, PA",,b'f7ebe5e2-c9fb-4959-a9b3-b09921168d50',Cassidy featuring R. Kelly,303,b'',0,0,b'Hotel',303100,,SOUDRIY12A8C13B59A,b'Hotel',215
1,b'',1063781,0.6061934961059625,0.4073442880394374,b'AR2MEUK1187B992D1B',,,,b'9946e322-2eb6-43dd-ae66-dd28114f1522',Jeff Scott Soto,59687,b'',0,0,b'Lost In The Translation',103106,,SOMCLSH12AF72A5CA4,b'If This Is The End',80602
2,b'',3524368,0.7550413499986275,0.4585920249078077,b'ARE0OLY1187B9AD19F',40.79263,"Whitestone, Queens, NY",-73.80817,b'db0fc330-1fa1-43f8-a33f-33eaf6a97d78',Jesse Malin,-1,b'',0,0,b'On Your Sleeve',312553,,SOFIEJM12A8C141ABD,b'Harmony',6884
3,b'',8471053,0.5061267738918808,0.35078789087528156,b'AR5GLIU1187FB4638A',,"Memphis, TN",,b'a147eefb-0e07-432d-bd1f-8edf7679a7da',Memphis Jug Band,21159,b'',0,0,b'Move That Thing Vol 2',765209,,SOAECCP12AB0186ADB,"b""Spider's Nest Blues""",2852
4,b'',6764800,0.7415181300427279,0.5204121100542216,b'AR1ZKBE1187FB53629',,"D�orf, Germany",,b'5700dcd4-c139-4f31-aa3e-6382b9af9032',Kraftwerk,881,b'',0,0,b'Tour De France (2009 Digital Remaster)',608839,0.3135621142479342,SOCDLUF12A8C13F13F,b'Tour De France \xc3\x89tape 3 (2009 Digital Remaster)',983
5,b'',4014427,0.2916735349936803,0.44719972200380037,b'ARXUCPO12086C169A4',,,,b'334d914a-b3a8-4b97-ab1c-f6258116881f',Frank Sinatra,-1,b'',0,0,b'Francis Albert Sinatra & Antonio Carlos Jobim',360271,,SOXRFSL12A58A78723,b'Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection]',-1
6,b'',7502076,0.5433500129660529,0.399265149721187,b'ARXOKNT1187B9AA521',,,,b'9ceb4e76-2b49-48a1-96f5-5fca8a0ca6c8',K.A.L.I.,-1,b'',0,0,b'K.A.L.I.',676395,,SORWYTZ12AB018D5C8,b'Climax ft St. Cyr',95567
7,b'',7438444,0.6061934961059625,0.4073442880394374,b'AR2MEUK1187B992D1B',,,,b'9946e322-2eb6-43dd-ae66-dd28114f1522',Jeff Scott Soto,59687,b'',0,0,b'One Night In Madrid',670712,,SOZPFXD12A58A7E0CC,b'Funky Medley',80602
8,b'',8388209,0.6087035683375998,0.36221895681539285,b'AR7KA5V1187FB44E6B',,,,b'7e5a0c3f-339a-4e5d-aed0-1946112b4a66',The Del McCoury Band,11415,b'',0,0,b'The Promise Land',757775,0.0,SOPKJJT12A8C1433B0,"b""It's Surprising What the Lord Can Do""",176248
9,b'',6637130,0.4152809003644191,0.284260942741617,b'ARC3WPR1187B9A183E',,,,b'e9d4c98e-aa52-4855-bcea-657f7bc97b1f',Non Stop DJs,-1,b'',0,0,b'Furious EP',598147,0.0,SOTZYDA12AC4686E81,b'Hoes & Discos',445029
